Service Name,Date,Time,Earnings (RS),Package,Category,Verification Type,Captcha,Encryption,Rate Limits,Endpoints Involved,Bot Protection
E,"29th April, Wednesday",14:30,400,GetS - com.egets.takeaways,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Luno,"29th April, Wednesday",22:50,400,co.bitx.android.wallet,General,Unknown,reCAPTCHA v2 Checkbox (Google),Protobuf binary protocol (LunoSigV2 signing),Observed 60s cooldown (ErrOTPMinInterval),Unknown,Cloudflare + Custom Request Signing
1xCasino,"29th April, Wednesday",23:20,400,org.xbet.casino,Gambling/Betting,Unknown,Slider CAPTCHA (Custom),HD-API + X-Sign header signing,Unknown,Unknown,HD-API ( Huawei/Honor Bot Protection) + Custom Signature
LC Waikiki,"29th April, Wednesday",23:33,400,com.lcwaikiki.android,General,Unknown,undefined,standard JSON over HTTPS,Unknown,Unknown,undefined
EZVIZ,"29th April, Wednesday",23:42,400,com.ezviz,General,Unknown,Custom (Human-Computer Identify),Encrypted Password + custom headers (featureCode),Unknown,Unknown,Custom Human-Computer Identification system
Pegasus - com.pozitron.pegasus,"28th April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Daraz - com.daraz.android,"28th April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ehamarkets - com.trade.trade211,"28th April, Tuesday",Unknown,500,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BPme - com.bp.app.bpme.global.pl,"27th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sage - com.sage.accounting,"27th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
XTransfer - com.xtapp.xtransfer,"27th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Shop Apotheke - shop.shop_apotheke.com.shopapotheke,"27th April, Monday",Unknown,400,Unknown,Delivery/E-commerce,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
iHerb - com.iherb,"27th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
KuCoin - com.kubi.kucoin,"27th April, Monday",Unknown,400,Unknown,Fintech/Crypto,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
IBI Smart - com.ibidev.ibitrade,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BitDeer - com.bitdeer.cloud.android,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Liki24 - com.liki24.customerapp,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Raya - com.raya_app,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Medal - tv.medal.recorder,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
YandexEats - ru.foodfox.client,"26th April, Sunday",Unknown,400,Unknown,Transport/Rideshare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BetLabel - org.betlabel.client,"26th April, Sunday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Shell Go+ India - com.shell.sitibv.shellgoplusindia,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HoYoLab - com.mihoyo.hoyolab,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
nextBike - de.nextbike,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
RockFlow - team.flowai.android,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
WellTrade - com.weltrade.appterminal,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
CubaMessenger - com.cubamessenger.cubamessengerapp,"26th April, Sunday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bolt Food - com.bolt.food,"26th April, Sunday",Unknown,400,Unknown,Transport/Rideshare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PokerBet - com.pokerbet.casino,"26th April, Sunday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
TruthSocial,"25th April, Saturday",Unknown,400,Unknown,Social/Live,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Partiful,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
NiceOne,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Qmove,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BetAndYou,"25th April, Saturday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MarathonBet,"25th April, Saturday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nestle Waters,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MiTrade,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha Motor ID,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Yolla,"25th April, Saturday",Unknown,400,Unknown,General,Unknown,Google Play Integrity Standard,Request Signing (sign parameter),Unknown,Unknown,Google Play Integrity
(Reserved/Skip),"25th April, Saturday",Unknown,0,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Healthify,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Zid,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
XPariBet,"23rd April, Thursday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Boyaa,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
WePlay,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HepsiBurada,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Canva,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4Fun,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Yalla,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AlmaGo,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Catawiki,"23rd April, Thursday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HapyLive,"22nd April, Wednesday",Unknown,400,Unknown,Social/Live,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FastPari,"22nd April, Wednesday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Planity,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Slack,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Floward,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Normal,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BetJam,"22nd April, Wednesday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ring,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Qunar,"22nd April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
oneplus,"21st April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mxt - com.vantagefx.app,"21st April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Luckin Coffee - com.luckin.client.i,"21st April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ccc - eu.ccc.mobile,"21st April, Tuesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Blink,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DBBet,"20th April, Monday",Unknown,400,Unknown,Gambling/Betting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ivi.ru,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MoonPay,"20th April, Monday",Unknown,400,Unknown,Fintech/Crypto,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Palfish,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PokaLive,"20th April, Monday",Unknown,400,Unknown,Social/Live,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Wix,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chamet,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
dolynk,"20th April, Monday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hinge,"15th April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Niimbot,"15th April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
VFS Global,"15th April, Wednesday",Unknown,400,Unknown,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
yandexgo,"15th April, Wednesday",Unknown,400,Unknown,Transport/Rideshare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
yandexpro,"15th April, Wednesday",Unknown,400,Unknown,Transport/Rideshare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
